UABC_FIM_ICO_IA_2024-1_P3-1_TRAINING
X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-0.11461,-0.08852,8.989393,-1.8158907,0
-0.11342,-0.0892,8.989393,-1.8158907,0
-0.11299,-0.08929,8.989393,-1.8158907,0
-0.1129,-0.08888,8.989393,-1.8158907,0
-0.11344,-0.08842,8.989393,-1.8158907,0
-0.11387,-0.08811,8.989393,-1.8158907,0
-0.11441,-0.08814,8.989393,-1.8158907,0
-0.1149,-0.08836,8.989393,-1.8158907,0
-0.11509,-0.08835,8.989393,-1.8158907,0
-0.11531,-0.08811,8.989393,-1.8158907,0
-0.11527,-0.08779,8.989393,-1.8158907,0
-0.1154,-0.08761,8.989393,-1.8158907,0
-0.11544,-0.0875,8.989393,-1.8158907,0
-0.11537,-0.0874,9.083791,-0.7824709,0
-0.11551,-0.08732,9.083791,-0.7824709,0
-0.11561,-0.08727,9.083791,-0.7824709,0
-0.11574,-0.08737,9.083791,-0.7824709,0
-0.11585,-0.08743,9.083791,-0.7824709,0
-0.11565,-0.08739,9.083791,-0.7824709,0
-0.11554,-0.08735,9.083791,-0.7824709,0
-0.11563,-0.08726,9.083791,-0.7824709,0
-0.1159,-0.08721,9.083791,-0.7824709,0
-0.11627,-0.08705,9.083791,-0.7824709,0
-0.11633,-0.08697,9.083791,-0.7824709,0
-0.11656,-0.08704,9.083791,-0.7824709,0
-0.11674,-0.08704,9.083791,-0.7824709,0
-0.11663,-0.08677,9.083791,-0.7824709,0
-0.11628,-0.08652,9.083791,-0.7824709,0
-0.11597,-0.0864,9.083791,-0.7824709,0
-0.11598,-0.08619,8.324533,-0.93014824,0
-0.11631,-0.086,8.324533,-0.93014824,0
-0.11635,-0.08569,8.324533,-0.93014824,0
-0.117,-0.08525,8.324533,-0.93014824,0
-0.11655,-0.08541,8.324533,-0.93014824,0
-0.11588,-0.08552,8.324533,-0.93014824,0
-0.11504,-0.08576,8.324533,-0.93014824,0
-0.11415,-0.08587,8.324533,-0.93014824,0
-0.11405,-0.08591,8.324533,-0.93014824,0
-0.11439,-0.08598,8.324533,-0.93014824,0
-0.11507,-0.08614,8.324533,-0.93014824,0
-0.11561,-0.08643,8.324533,-0.93014824,0
-0.11571,-0.08676,8.324533,-0.93014824,0
-0.11624,-0.08692,8.324533,-0.93014824,0
-0.11676,-0.08706,8.324533,-0.93014824,0
-0.11723,-0.08734,8.324533,-0.93014824,0
-0.11767,-0.08762,7.8344154,-1.3076361,0
-0.11791,-0.08776,7.8344154,-1.3076361,0
-0.11829,-0.08779,7.8344154,-1.3076361,0
-0.11858,-0.08784,7.8344154,-1.3076361,0
-0.11872,-0.08786,7.8344154,-1.3076361,0
-0.11885,-0.08794,7.8344154,-1.3076361,0
-0.11866,-0.08806,7.8344154,-1.3076361,0
-0.11866,-0.0882,7.8344154,-1.3076361,0
-0.11897,-0.08832,7.8344154,-1.3076361,0
-0.1194,-0.08826,7.8344154,-1.3076361,0
-0.11984,-0.08808,7.8344154,-1.3076361,0
-0.12004,-0.08788,7.8344154,-1.3076361,0
